IDH,IDC,Distancia,Tiempo
2,75,2450,1979
2,77,2736,2181
2,86,2951,2405
2,97,2951,2405
2,105,3851,3098
2,111,2703,2170
2,119,3966,3177
2,158,2377,1931
2,182,3883,3166
2,184,3634,3004
2,218,2700,2166
2,222,2708,2173
2,226,3007,2436
2,263,3907,3056
2,276,2759,2280
2,284,2530,2044
2,296,3647,2952
2,297,3678,2955
2,298,3056,2299
2,300,2560,2073
2,330,2951,2405
2,335,4044,3254
2,340,2734,2225
2,348,4477,3591
2,353,4032,3287
2,354,3487,2821
2,366,3959,3215
2,372,2435,1980
2,376,3465,2748
2,399,1958,1594
2,406,2812,2285
2,418,3045,2457
2,427,3589,2887
2,451,2689,2194
2,476,4117,3311
2,489,4075,3169
2,11,8369,6303
2,25,3331,2449
2,80,2548,1930
2,100,2739,2088
2,116,3918,2904
2,140,2679,2049
2,142,2964,2244
2,171,3033,2281
2,195,2077,1603
2,198,3484,2624
2,200,2653,2009
2,202,2704,2052
2,225,2475,1921
2,229,2580,2004
2,285,2515,1920
2,324,4306,3149
2,360,2476,2058
2,362,2363,1858
2,368,2683,2052
2,395,4845,3528
2,401,2079,1620
2,454,2426,1907
2,459,2964,2244
2,14,8845,6972
2,65,9007,7097
2,88,9643,7598
2,89,9863,7777
2,95,8554,6759
2,101,9863,7777
2,147,9896,7768
2,152,9756,7689
2,179,8742,6903
2,211,8856,6980
2,268,9863,7777
2,279,10226,8018
2,280,9863,7777
2,336,9863,7777
2,349,10178,7959
2,377,9156,7210
2,384,9399,7373
2,402,9047,7124
2,457,8637,6823
2,465,9627,7587
2,4,9406,7355
2,56,9365,7333
2,61,7060,5508
2,178,7354,5787
2,301,9511,7440
2,33,396,309
2,35,2749,2177
2,41,1947,1503
2,67,1066,799
2,82,327,224
2,91,344,240
2,106,2749,2177
2,133,2248,1599
2,144,2749,2177
2,157,2749,2177
2,167,2749,2177
2,173,2749,2177
2,312,1246,872
2,325,2074,1520
2,332,1067,827
2,343,9717,7790
2,375,2749,2177
2,388,337,260
2,392,279,193
2,394,1265,929
2,397,531,403
2,40,8268,6543
2,90,9164,7238
2,102,8949,7060
2,103,10054,7945
2,104,8787,6955
2,126,9160,7230
2,150,8220,6507
2,199,8833,6989
2,212,9246,7302
2,355,8981,7090
2,425,8553,6746
2,269,16108,12157
2,189,14343,10720
2,205,13048,9546
2,352,14335,10459
2,367,13454,10075
2,416,14280,10454
2,426,13621,9958
2,432,13621,9958
2,493,14340,10498
2,3,7854,6178
2,117,6796,5345
2,134,7436,5833
2,227,5396,4222
2,434,5456,4334
2,378,4902,3791
2,17,4562,3566
2,351,4105,3148
2,20,6608,5291
2,66,5843,4588
3,156,42002,31591
3,311,40466,30431
3,13,48894,36084
3,240,48878,36073
3,328,48886,36079
3,1,46310,34194
3,85,44982,33222
3,123,44982,33222
3,201,44914,33193
3,230,47170,35647
3,261,44486,32879
3,313,44975,33245
3,316,47064,34810
3,342,42743,31614
3,114,39436,29213
3,295,41452,30667
3,323,39452,29226
3,365,39198,29041
3,398,41375,30626
3,455,42756,31605
3,60,52579,38454
3,130,52621,38481
3,155,61755,48140
3,386,4914,3480
3,441,929,824
3,154,2866,1989
3,303,3339,2322
3,274,1643,1181
3,39,316,222
3,187,554,434
3,214,417,327
3,314,482,374
3,403,559,425
3,305,8045,7969
3,59,3116,2236
3,129,2926,2064
3,166,3109,2208
3,288,3106,2193
3,469,5413,3935
3,216,15921,12876
3,232,15785,12798
3,460,15788,12785
3,473,15921,12876
3,9,14581,11975
3,29,14044,11301
3,68,14044,11301
3,118,14927,12205
3,122,14044,11301
3,138,13914,11517
3,190,14188,11754
3,231,15759,12767
3,273,14215,11409
3,396,13766,11580
3,404,14677,12091
3,442,13582,11021
3,447,14231,11420
3,480,14846,12170
3,486,14044,11301
3,197,13550,10061
3,456,35116,26319
3,87,36616,27249
3,120,36210,26955
